vuca_dim,external_var,lag,f_stat,p_value,significant_10,significant_5,significant_1
V_score,equipment_sales,1,2.469,0.119,False,False,False
V_score,equipment_sales,2,2.505,0.086,True,False,False
V_score,equipment_sales,3,1.877,0.138,False,False,False
V_score,equipment_sales,4,1.188,0.321,False,False,False
V_score,farmland_prices,1,5.227,0.024,True,True,False
V_score,farmland_prices,2,3.448,0.035,True,True,False
V_score,farmland_prices,3,3.458,0.019,True,True,False
V_score,farmland_prices,4,2.761,0.032,True,True,False
V_score,loan_volume,1,0.492,0.485,False,False,False
V_score,loan_volume,2,0.327,0.722,False,False,False
V_score,loan_volume,3,0.358,0.784,False,False,False
V_score,loan_volume,4,0.554,0.696,False,False,False
U_score,equipment_sales,1,0.89,0.348,False,False,False
U_score,equipment_sales,2,0.421,0.658,False,False,False
U_score,equipment_sales,3,0.386,0.763,False,False,False
U_score,equipment_sales,4,0.166,0.955,False,False,False
U_score,farmland_prices,1,3.25,0.074,True,False,False
U_score,farmland_prices,2,0.986,0.376,False,False,False
U_score,farmland_prices,3,0.947,0.421,False,False,False
U_score,farmland_prices,4,1.101,0.36,False,False,False
U_score,loan_volume,1,0.091,0.763,False,False,False
U_score,loan_volume,2,0.759,0.471,False,False,False
U_score,loan_volume,3,1.146,0.334,False,False,False
U_score,loan_volume,4,1.202,0.315,False,False,False
C_score,equipment_sales,1,0.009,0.926,False,False,False
C_score,equipment_sales,2,0.004,0.996,False,False,False
C_score,equipment_sales,3,1.039,0.378,False,False,False
C_score,equipment_sales,4,0.809,0.522,False,False,False
C_score,farmland_prices,1,0.373,0.543,False,False,False
C_score,farmland_prices,2,0.456,0.635,False,False,False
C_score,farmland_prices,3,0.249,0.862,False,False,False
C_score,farmland_prices,4,0.388,0.817,False,False,False
C_score,loan_volume,1,0.078,0.78,False,False,False
C_score,loan_volume,2,0.24,0.787,False,False,False
C_score,loan_volume,3,0.384,0.765,False,False,False
C_score,loan_volume,4,0.387,0.818,False,False,False
A_score,equipment_sales,1,0.187,0.666,False,False,False
A_score,equipment_sales,2,0.522,0.595,False,False,False
A_score,equipment_sales,3,0.361,0.781,False,False,False
A_score,equipment_sales,4,0.784,0.538,False,False,False
A_score,farmland_prices,1,0.016,0.9,False,False,False
A_score,farmland_prices,2,0.268,0.766,False,False,False
A_score,farmland_prices,3,0.864,0.462,False,False,False
A_score,farmland_prices,4,0.7,0.593,False,False,False
A_score,loan_volume,1,0.483,0.489,False,False,False
A_score,loan_volume,2,3.549,0.032,True,True,False
A_score,loan_volume,3,2.361,0.076,True,False,False
A_score,loan_volume,4,2.827,0.028,True,True,False
